iter	Passed	Remaining
0	125	124965
1	128	64242
2	132	43976
3	136	33930
4	140	27948
5	143	23854
6	148	21029
7	152	18899
8	155	17142
9	159	15761
10	164	14770
11	168	13878
12	171	13051
13	175	12386
14	179	11782
15	182	11229
16	185	10753
17	189	10330
18	192	9960
19	196	9621
20	200	9336
21	203	9058
22	207	8794
23	210	8553
24	213	8328
25	216	8119
26	220	7960
27	224	7798
28	227	7610
29	229	7414
30	231	7237
31	234	7080
32	236	6924
33	238	6769
34	240	6623
35	242	6484
36	243	6348
37	245	6223
38	247	6102
39	249	5985
40	250	5862
41	251	5745
42	253	5634
43	254	5526
44	255	5424
45	256	5325
46	258	5234
47	259	5150
48	261	5068
49	262	4992
50	264	4919
51	265	4845
52	267	4774
53	268	4707
54	270	4641
55	271	4579
56	272	4516
57	274	4458
58	276	4405
59	277	4353
60	279	4298
61	280	4249
62	282	4202
63	284	4154
64	285	4110
65	287	4065
66	288	4019
67	290	3976
68	292	3939
69	293	3897
70	294	3856
71	296	3816
72	297	3776
73	298	3741
74	300	3703
75	301	3667
76	302	3632
77	304	3599
78	306	3569
79	308	3542
80	309	3511
81	310	3479
82	311	3442
83	312	3413
84	314	3383
85	315	3355
86	317	3326
87	318	3299
88	319	3273
89	321	3249
90	322	3224
91	324	3200
92	325	3177
93	327	3153
94	328	3129
95	329	3105
96	331	3082
97	332	3060
98	333	3039
99	335	3019
100	337	2999
101	338	2979
102	339	2959
103	341	2940
104	342	2920
105	344	2901
106	345	2883
107	346	2864
108	348	2847
109	350	2831
110	351	2815
111	353	2799
112	354	2782
113	355	2764
114	357	2747
115	358	2731
116	359	2712
117	360	2696
118	362	2682
119	363	2666
120	365	2653
121	366	2639
122	368	2626
123	370	2615
124	371	2603
125	373	2592
126	375	2579
127	376	2568
128	378	2556
129	380	2545
130	382	2534
131	383	2523
132	385	2512
133	387	2501
134	388	2491
135	390	2479
136	391	2469
137	393	2457
138	394	2446
139	396	2435
140	398	2425
141	399	2413
142	400	2400
143	401	2388
144	403	2378
145	404	2367
146	406	2356
147	407	2347
148	410	2345
149	414	2348
150	416	2339
151	417	2330
152	419	2322
153	421	2317
154	423	2308
155	425	2302
156	427	2294
157	428	2285
158	430	2277
159	432	2269
160	433	2260
161	435	2250
162	436	2241
163	438	2233
164	439	2225
165	441	2217
166	443	2210
167	444	2201
168	446	2193
169	447	2186
170	449	2179
171	451	2172
172	461	2205
173	463	2200
174	467	2203
175	473	2216
176	476	2213
177	477	2204
178	479	2197
179	480	2188
180	481	2180
181	483	2173
182	485	2165
183	487	2161
184	489	2154
185	490	2147
186	492	2140
187	493	2132
188	495	2125
189	496	2117
190	499	2116
191	501	2111
192	503	2106
193	504	2096
194	506	2092
195	508	2084
196	509	2078
197	511	2070
